"CODIGO","NOMBRE","CATEGORIA","TECNOLOGIA","ESTADO","FECHA_INSTALACION","FECHA_SUSPENSION","ALTITUD","LATITUD","LONGITUD","DEPARTAMENTO","MUNICIPIO","AREA_OPERATIVA","ENTIDAD","AREA_HIDROGRAFICA","ZONA_HIDROGRAFICA","SUBZONA_HIDROGRAFICA","CORRIENTE","OBSERVACION","SUBRED"
26090820,"STA TERESA  [26090820]","Pluviométrica","Convencional","Activa","15/06/1969",,3690,"3,4833333330","-76,05","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090830,"LOS TAMBOS - AUT [26090830]","Limnigráfica","Automática con Telemetría","Activa","01/07/2017",,1680,"3,5175777780","-76,1495888890","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito","RÍO CAUCA","Creación de estaciones de CVC no migradas a dhime",
26090840,"TENERIFE - AUT [26090840]","Limnigráfica","Automática con Telemetría","Activa","01/07/2017",,2609,"3,7304777780","-76,080250","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito","RÍO CAUCA","Creación de estaciones de CVC no migradas a dhime",
26090880,"AUSTRIA  [26090880]","Pluviométrica","Convencional","Activa","15/10/1969",,1750,"3,5833333330","-76,18333333","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090890,"BETULIA LA  [26090890]","Pluviométrica","Convencional","Suspendida","15/12/1969","15/08/1982",2600,"3,5333333330","-76,11666667","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090900,"OLGA LA  [26090900]","Pluviométrica","Convencional","Activa","15/01/1958",,1028,"3,60","-76,35","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090910,"STA ANITA  [26090910]","Pluviométrica","Convencional","Activa","15/05/1968",,1036,"3,60","-76,33333333","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090920,"FLORENCIA  [26090920]","Pluviométrica","Convencional","Activa","15/05/1959",,980,"3,5833333330","-76,35","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26090930,"PICHICHI  [26090930]","Pluviométrica","Convencional","Activa","15/01/1969",,1029,"3,7833333330","-76,28333333","Valle Del Cauca","Guacarí","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095010,"SELVA LA  [26095010]","Meteorológica Especial","Convencional","Activa","15/05/1979",,1800,"3,75","-76,20","Valle Del Cauca","Ginebra","Area Operativa 09 - Cauca-Valle-Caldas","FEDERACIÓN NACIONAL DE CAFETEROS","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095020,"ING PICHICHI  [26095020]","Climatológica Ordinaria","Convencional","Suspendida","15/03/1930","15/09/1952",1043,"3,7666666670","-76,26666667","Valle Del Cauca","Guacarí","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095030,"CENTRO EL  [26095030]","Climatológica Ordinaria","Convencional","Suspendida","15/10/1931","15/05/1934",1088,"4,0833333330","-76,25","Valle Del Cauca","Tuluá","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE LA ECONOMÍA","Magdalena Cauca","Cauca","Ríos Tulua y Morales",,,
26095040,"AGRICOLA GJA  [26095040]","Climatológica Ordinaria","Convencional","Suspendida","15/03/1937","15/11/1959",969,"3,9166666670","-76,30","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE LA ECONOMÍA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26095050,"EST DE ALGODON  [26095050]","Climatológica Ordinaria","Convencional","Suspendida","15/04/1939","15/04/1944",1200,"3,90","-76,28333333","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE AGRICULTURA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26095060,"BARRAGAN  [26095060]","Climatológica Ordinaria","Convencional","Suspendida","15/02/1941","15/04/1948",1000,"4,0833333330","-76,21666667","Valle Del Cauca","Tuluá","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE AGRICULTURA","Magdalena Cauca","Cauca","Ríos Tulua y Morales",,,
26095070,"PIEDECHINCHE  [26095070]","Climatológica Ordinaria","Convencional","Suspendida","15/08/1946","15/09/1949",1000,"3,70","-76,31666667","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE AGRICULTURA","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095090,"AGRICOLA GJA  [26095090]","Climatológica Ordinaria","Convencional","Suspendida","15/05/1949","15/05/1955",1088,"4,0833333330","-76,23333333","Valle Del Cauca","Tuluá","Area Operativa 09 - Cauca-Valle-Caldas","MINISTERIO DE AGRICULTURA","Magdalena Cauca","Cauca","Ríos Tulua y Morales",,,
26095100,"ING PROVIDENCIA  [26095100]","Climatológica Ordinaria","Convencional","Activa","15/01/1961",,1100,"3,6166666670","-76,28333333","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095120,"LORENA  [26095120]","Climatológica Ordinaria","Convencional","Activa","15/01/1964",,1128,"3,7666666670","-76,25","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095130,"CAPRI  [26095130]","Climatológica Ordinaria","Convencional","Activa","15/01/1964",,999,"3,6666666670","-76,30","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095140,"SAN JERONIMO  [26095140]","Climatológica Ordinaria","Convencional","Activa","15/01/1964",,1000,"3,6333333330","-76,33333333","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095150,"AURORA  [26095150]","Meteorológica Especial","Convencional","Activa","15/01/1964",,1015,"3,6833333330","-76,28333333","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Guabas,Sabaletas y Sonso",,,
26095160,"ALISAL  [26095160]","Meteorológica Especial","Convencional","Activa","15/01/1964",,1000,"3,6333333330","-76,30","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095170,"PAZ LA  [26095170]","Meteorológica Especial","Convencional","Activa","15/01/1964",,1052,"3,65","-76,26666667","Valle Del Cauca","El Cerrito","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095180,"SAN EMIGDIO  [26095180]","Climatológica Ordinaria","Convencional","Activa","15/12/1964",,1272,"3,55","-76,20","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095190,"GUADUALITO  [26095190]","Climatológica Ordinaria","Convencional","Activa","15/02/1966",,1270,"3,6333333330","-76,40","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","ESTACIONES PARTICULARES","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095200,"MAGDALENA LA  [26095200]","Meteorológica Especial","Convencional","Activa","15/12/1968",,1320,"3,8666666670","-76,18333333","Valle Del Cauca","Buga","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Guadalajara y San Pedro",,,
26095210,"EL COMINAL - AUT [26095210]","Climatológica Ordinaria","Automática con Telemetría","Activa","01/07/2017",,2055,"3,5247027780","-76,1514416670","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,"Creación estaciones CVC",
26095240,"MONTANITA LA  [26095240]","Climatológica Ordinaria","Convencional","Activa","15/08/1969",,1750,"3,55","-76,18333333","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095250,"CASETEJA  [26095250]","Climatológica Ordinaria","Convencional","Activa","15/09/1969",,3520,"3,4833333330","-76,06666667","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
26095260,"DIAMANTE EL  [26095260]","Climatológica Ordinaria","Convencional","Activa","15/09/1969",,2100,"3,50","-76,15","Valle Del Cauca","Palmira","Area Operativa 09 - Cauca-Valle-Caldas","CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA","Magdalena Cauca","Cauca","Ríos Amaime y Cerrito",,,
